contig_id,proteins
Bacillus phage Thornton,43
Bacillus phage Troll,289
Bacillus phage TsarBomba,247
Bacillus phage VMY22,25
Bacillus phage W.Ph.,274
Bacillus phage Waukesha92,72
Bacillus phage Wes44,54
Bacillus phage WhyPhy,28
Bacillus phage Wip1,27
Bacillus phage Zuko,294
Bacillus phage phBC6A51,75
Bacillus phage phBC6A52,49
Bacillus phage phIS3501,51
Bacillus phage phi105,103
Bacillus phage phi4B1,56
Bacillus phage phi4J1,67
Bacillus phage phiAGATE,210
Bacillus phage phiCM3,56
Bacillus phage phiNIT1,219
Bacillus phage vB_BanS-Tsamsa,272
Bacillus phage vB_BboS-125,80
Bacillus phage vB_BceM_Bc431v3,238
Bacillus phage vB_BceS-MY192,64
Bacillus phage vB_BhaS-171,67
Bacillus phage vB_BmeM-Goe8,246
Bacillus phage vB_Bpu_PumA1,26
Bacillus phage vB_Bpu_PumA2,28
Bacillus phage vB_BsuM-Goe3,246
Bacillus phage vB_BsuP-Goe1,24
Bacillus phage vB_BtS_B83,71
Bacillus phage vB_BtS_BMBtp14,75
Bacillus phage vB_BtS_BMBtp3,76
Bacillus phage vB_BthP-Goe4,43
Bacillus phage vB_BveP-Goe6,26
Bacillus virus 1,54
Bacillus virus 250,54
Bacillus virus AP50,31
Bacillus virus Andromeda,79
Bacillus virus B103,17
Bacillus virus BM15,266
Bacillus virus BMBtp2,53
Bacillus virus Blastoid,79
Bacillus virus Curly,77
Bacillus virus Eoghan,75
Bacillus virus Finn,77
Bacillus virus G,675
Bacillus virus GA1,35
Bacillus virus Glittering,78
Bacillus virus IEBH,86
Bacillus virus PBS1,311
Bacillus virus Riggi,79
Bacillus virus SPO1,206
Bacillus virus SPbeta,185
Bacillus virus SRT01hs,31
Bacillus virus Taylor,75
Bacillus virus Wbeta,53
Bacillus virus phi29,27
Bacteriophage APSE-2,41
Bacteriophage Lily,74
Bacteriophage Phobos,63
Bacteriophage R18C,44
Bacteriophage vB_NpeS-2AV2,182
Bacteroides phage B124-14,68
Bacteroides phage B40-8,46
Bacteroides phage DAC15,120
Bacteroides phage crAss001,104
Bacteroides phage crAss002,81
Bdellovibrio phage phi1402,42
Bdellovibrio phage phi1422,76
Bdellovibrio phage phiMH2K,11
Bifidobacterium phage BadAargau2,23
Bifidobacterium phage BadAztec1,23
Bordetella phage CN1,79
Bordetella phage CN2,81
Bordetella phage FP1,80
Bordetella phage MW2,80
Bordetella phage vB_BbrM_PHB04,124
Bordetella virus BPP1,49
Brevibacillus phage Abouo,94
Brevibacillus phage Davies,94
Brevibacillus phage Jenst,178
Brevibacillus phage Jimmer1,103
Brevibacillus phage Jimmer2,103
Brevibacillus phage Osiris,103
Brevibacillus phage Sundance,194
Brevibacterium phage AGM1,53
Brevibacterium phage LuckyBarnes,67
Brochothrix phage A9,199
Brochothrix phage BL3,67
Brochothrix phage NF5,58
Brucella phage BiPBO1,86
Brucella phage Pr,57
Brucella phage Tb,58
Burkholderia phage AP3,51
Burkholderia phage Bcep176,81
Burkholderia phage BcepB1A,73
Burkholderia phage BcepGomr,75
Burkholderia phage BcepNazgul,73
Burkholderia phage BcepSaruman,445
Burkholderia phage BcepSauron,446
Burkholderia phage Bp-AMP1,42
Burkholderia phage FLC5,45
Burkholderia phage JG068,49
Burkholderia phage KL3,52
Burkholderia phage KS10,49
Burkholderia phage KS14,44
Burkholderia phage KS5,46
Burkholderia phage KS9,50
Burkholderia phage Mana,63
Burkholderia phage Mica,69
Burkholderia phage ST79,49
Burkholderia phage phiE094,52
Burkholderia phage phiE125,2
Burkholderia phage vB_BceS_AH2,78
Burkholderia phage vB_BceS_KL1,55
Burkholderia phage vB_BmuP_KL4,65
Burkholderia virus Bcep1,71
Burkholderia virus Bcep22,77
Burkholderia virus Bcep43,65
Burkholderia virus Bcep781,66
Burkholderia virus BcepC6B,46
Burkholderia virus BcepF1,127
Burkholderia virus BcepMu,53
Burkholderia virus BcepNY3,70
Burkholderia virus Bcepil02,76
Burkholderia virus Bcepmigl,75
Burkholderia virus DC1,73
Burkholderia virus phi1026b,83
Burkholderia virus phi52237,47
Burkholderia virus phi6442,71
Burkholderia virus phiE122,50
Burkholderia virus phiE125,69
Burkholderia virus phiE202,48
Burkholderia virus phiE255,55
Butyrivibrio virus Arawn,50
Campylobacter phage CP30A,162
Campylobacter phage PC14,171
Campylobacter phage vB_CjeM_Los1,169
Campylobacter virus CP21,257
Campylobacter virus CP220,194
Campylobacter virus CP81,181
Campylobacter virus CPX,149
Campylobacter virus CPt10,196
Campylobacter virus IBB35,208
Campylobacter virus NCTC12673,166
Caulobacter phage CcrBL10,335
Caulobacter phage CcrBL9,558
Caulobacter phage CcrColossus,452
Caulobacter phage CcrPW,485
Caulobacter phage CcrSC,546
Caulobacter phage Cr30,286
Caulobacter phage Lullwater,52
Caulobacter phage Percy,55
Caulobacter phage Sansa,122
Caulobacter phage Seuss,120
Caulobacter phage phiCb5,4
Caulobacter virus Karma,357
Caulobacter virus Magneto,351
Caulobacter virus Rogue,354
Caulobacter virus Swift,347
Caulobacter virus phiCbK,342
Celeribacter phage P12053L,56
Cellulophaga phage phi10:1,106
Cellulophaga phage phi12:1,64
Cellulophaga phage phi12:2,13
Cellulophaga phage phi12a:1,13
Cellulophaga phage phi13:2,127
Cellulophaga phage phi14:2,111
Cellulophaga phage phi17:1,65
Cellulophaga phage phi17:2,198
Cellulophaga phage phi18:1,65
Cellulophaga phage phi18:3,123
Cellulophaga phage phi19:1,114
Cellulophaga phage phi19:3,129
Cellulophaga phage phi38:1,101
Cellulophaga phage phi39:1,48
Cellulophaga phage phi46:1,54
Cellulophaga phage phi46:3,121
Cellulophaga phage phi48:2,29
Cellulophaga phage phi4:1,197
Cellulophaga phage phiSM,59
Cellulophaga phage phiST,104
Chlamydia phage 2,8
Chlamydia phage 4,8
Chlamydia phage CPG1,9
Chlamydia virus CPAR39,6
Chlamydia virus Chp1,12
Citrobacter phage CF1 DK-2017,87
Citrobacter phage CF1 ERZ-2017,306
Citrobacter phage CR44b,57
Citrobacter phage CR8,57
Citrobacter phage CVT22,83
Citrobacter phage IME-CF2,263
Citrobacter phage Margaery,280
Citrobacter phage Merlin,303
Citrobacter phage Michonne,143
Citrobacter phage Miller,277
Citrobacter phage Moogle,126
Citrobacter phage Moon,298
Citrobacter phage Mordin,138
Citrobacter phage PhiZZ23,270
Citrobacter phage PhiZZ6,272
Citrobacter phage SH1,53
Citrobacter phage SH2,53
Citrobacter phage SH3,49
Citrobacter phage SH4,49
Citrobacter phage Sazh,87
Citrobacter phage phiCFP-1,43
Citrobacter phage vB_CfrM_CfP1,273
Citrobacter phage vB_CroM_CrRp10,264
Citrobacter phage vB_CroP_CrRp3,53
Citrobacter virus HCF1,71
Citrobacter virus Stevie,90
Clavibacter phage CMP1,74
Clavibacter phage CN1A,78
Clostridium phage CDKM15,79
Clostridium phage CDKM9,75
Clostridium phage CDMH1,84
Clostridium phage CPD2,22
Clostridium phage CPS1,25
Clostridium phage CPS2,25
Clostridium phage CpV1,22
Clostridium phage PhiS63,43
Clostridium phage c-st,198
Clostridium phage phi24R,22
Clostridium phage phi3626,51
Clostridium phage phi8074-B1,82
Clostridium phage phiCD111,55
Clostridium phage phiCD146,52
Clostridium phage phiCD211,190
Clostridium phage phiCD38-2,55
Clostridium phage phiCD481-1,54
Clostridium phage phiCD505,76
Clostridium phage phiCD506,53
Clostridium phage phiCD6356,59
Clostridium phage phiCDHM11,49
Clostridium phage phiCDHM13,50
Clostridium phage phiCDHM14,50
Clostridium phage phiCDHM19,88
Clostridium phage phiCP13O,55
Clostridium phage phiCP26F,49
Clostridium phage phiCP34O,52
Clostridium phage phiCP39-O,62
Clostridium phage phiCP7R,26
Clostridium phage phiCPV4,28
Clostridium phage phiCT19406A,67
Clostridium phage phiCT19406B,66
Clostridium phage phiCT19406C,63
Clostridium phage phiCT453A,62
Clostridium phage phiCT453B,61
Clostridium phage phiCT9441A,77
Clostridium phage phiCTC2A,67
Clostridium phage phiCTC2B,66
Clostridium phage phiCTP1,86
Clostridium phage phiMMP01,81
Clostridium phage phiMMP02,76
Clostridium phage phiMMP03,93
Clostridium phage phiMMP04,51
Clostridium phage phiSM101,53
Clostridium phage phiZP2,27
Clostridium phage susfortuna,28
Clostridium phage vB_CpeS-CP51,50
Clostridium virus phiC2,82
Clostridium virus phiCD119,79
Clostridium virus phiCD27,75
Colwellia phage 9A,149
Corynebacterium phage Adelaide,57
Corynebacterium phage BFK20,54
Corynebacterium phage C3PO,93
Corynebacterium phage Darwin,94
Corynebacterium phage Dina,63
Corynebacterium phage Juicebox,59
Corynebacterium phage Kimchi1738,94
Corynebacterium phage Lederberg,60
Corynebacterium phage P1201,97
Corynebacterium phage Poushou,54
Corynebacterium phage SamW,60
Corynebacterium phage StAB,61
Corynebacterium phage Stickynote,90
Corynebacterium phage Stiles,54
Corynebacterium phage Zion,92
Corynebacterium phage phi673,56
Corynebacterium phage phi674,54
Croceibacter phage P2559S,68
Croceibacter phage P2559Y,51
Cronobacter phage CR3,265
Cronobacter phage CR5,231
Cronobacter phage CR8,269
Cronobacter phage CR9,281
Cronobacter phage Dev-CD-23823,48
Cronobacter phage Dev2,45
Cronobacter phage ENT39118,38
Cronobacter phage ENT47670,46
Cronobacter phage ESSI-2,43
Cronobacter phage GW1,49
Cronobacter phage JC01,76
Cronobacter phage PBES 02,270
Cronobacter phage Pet-CM3-4,279
Cronobacter phage PhiCS01,75
Cronobacter phage S13,268
Cronobacter phage phiES15,52
Cronobacter phage vB_CsaM_GAP161,275
Cronobacter phage vB_CsaM_GAP31,269
Cronobacter phage vB_CsaM_GAP32,545
Cronobacter phage vB_CsaM_leB,280
Cronobacter phage vB_CsaM_leE,284
Cronobacter phage vB_CsaP_009,140
Cronobacter phage vB_CsaP_GAP52,115
Cronobacter phage vB_CskP_GAP227,49
Cronobacter virus Esp2949-1,45
Curvibacter phage P26059B,46
Cyanophage 9515-10a,55
Cyanophage KBS-P-1A,57
Cyanophage KBS-S-2A,64
Cyanophage MED4-117,63
Cyanophage NATL1A-7,65
Cyanophage NATL2A-133,62
Cyanophage P-RSM1,212
Cyanophage P-RSM6,221
Cyanophage P-SSP2,56
Cyanophage P-TIM40,235
Cyanophage PP,41
Cyanophage PSS2,131
Cyanophage S-RIM12,643
Cyanophage S-RIM32,230
Cyanophage S-RIM44,235
Cyanophage S-RIM50,227
Cyanophage S-TIM4,235
Cyanophage S-TIM5,180
Cyanophage SS120-1,52
Deep-sea thermophilic phage D6E,49
Delftia phage IME-DE1,48
Delftia phage PhiW-14,236
Delftia phage RG-2014,88
Dickeya phage BF25/12,51
Dickeya phage Dagda,53
Dickeya phage Katbat,52
Dickeya phage Luksen,53
Dickeya phage Mysterion,53
Dickeya phage Ninurta,46
Dickeya phage RC-2014,196
Dickeya phage vB_DsoM_AD1,330
Dickeya phage vB_DsoM_JA11,321
Dickeya phage vB_DsoM_JA29,318
Dickeya phage vB_DsoP_JA10,50
Dickeya virus Limestone,201
Dinoroseobacter phage DFL12phi1,86
Dinoroseobacter phage DS-1410Ws-06,77
Dinoroseobacter phage vB_DshS-R5C,123
Edwardsiella phage Edno5,76
Edwardsiella phage GF-2,82
Edwardsiella phage KF-1,48
Edwardsiella phage MSW-3,66
Edwardsiella phage PEi20,301
Edwardsiella phage PEi21,71
Edwardsiella phage eiAU,54
Edwardsiella phage eiAU-183,54
Edwardsiella phage pEt-SU,284
Eggerthella phage PMBT5,44
Enterobacter phage Arya,61
Enterobacter phage CC31,279
Enterobacter phage E-2,41
Enterobacter phage E-3,36
Enterobacter phage EcP1,77
Enterobacter phage Ec_L1,85
Enterobacter phage EcpYZU01,48
Enterobacter phage Enc34,80
Enterobacter phage EspM4VN,219
Enterobacter phage KNP3,39
Enterobacter phage PG7,294
Enterobacter phage Tyrion,56
Enterobacter phage myPSH1140,240
Enterobacter phage phiEap-1,42
Enterobacter phage phiEap-2,62
Enterobacter phage phiEap-3,278
Enterobacter phage phiKDA1,62
Enterobacter phage phiT5282H,39
Enterobacter phage vB_EclM_CIP9,296
Enterobacter virus F20,83
Enterobacteria phage 2851,75
Enterobacteria phage 9g,71
Enterobacteria phage ATK47,209
Enterobacteria phage Aplg8,235
Enterobacteria phage BP-4795,85
Enterobacteria phage C-1 INW-2012,4
Enterobacteria phage DT571/2,133
Enterobacteria phage ES18,79
Enterobacteria phage GEC-3S,277
Enterobacteria phage GiZh,237
Enterobacteria phage HK106,65
Enterobacteria phage HK140,71
Enterobacteria phage HK225,69
Enterobacteria phage HK620,58
Enterobacteria phage Hgal1,4
Enterobacteria phage ID18 sensu lato,11
Enterobacteria phage IME08,253
Enterobacteria phage IME10,27
Enterobacteria phage IME_EC2,60
Enterobacteria phage JenK1,86
Enterobacteria phage JenP1,87
Enterobacteria phage JenP2,87
Enterobacteria phage Kha5h,237
Enterobacteria phage M,4
Enterobacteria phage O276,67
Enterobacteria phage P4,14
Enterobacteria phage P7,113
Enterobacteria phage P88,53
Enterobacteria phage PR4,31
Enterobacteria phage PRD1,31
Enterobacteria phage RB18,273
Enterobacteria phage RB27,271
Enterobacteria phage RB51,273
Enterobacteria phage RB68,276
Enterobacteria phage SP,4
Enterobacteria phage ST104,63
Enterobacteria phage Sf101,66
Enterobacteria phage SfI,65
Enterobacteria phage SfV,53
Enterobacteria phage T3,101
Enterobacteria phage T6,265
Enterobacteria phage T7M,55
Enterobacteria phage UAB_Phi20,80
Enterobacteria phage VT2-Sakai,83
Enterobacteria phage VT2phi_272,83
Enterobacteria phage WA13 sensu lato,10
Enterobacteria phage YYZ-2008,75
Enterobacteria phage cdtI,60
Enterobacteria phage fd,10
Enterobacteria phage fiAA91-ss,40
Enterobacteria phage mEp043 c-1,69
Enterobacteria phage mEp235,61
Enterobacteria phage mEp237,63
Enterobacteria phage mEp460,59
Enterobacteria phage phi80,63
Enterobacteria phage phi92,252
Enterobacteria phage phiJLA23,65
Enterobacteria phage phiP27,58
Enterobacteria phage vB_EcoM_IME281,276
Enterobacteria phage vB_EcoM_IME339,255
Enterobacteria phage vB_EcoM_IME340,260
Enterobacteria phage vB_EcoM_IME341,273
Enterobacteria phage vB_EcoP_IME390,46
Enterobacteria phage vB_EcoS_IME18,82
Enterobacteria phage vB_EcoS_Rogue1,74
Enterobacterial phage mEp213,74
Enterobacterial phage mEp390,59
Enterobacteriaphage UAB_Phi87,147
Enterococcus phage 9183,109
Enterococcus phage AE4_17,28
Enterococcus phage AUEF3,68
Enterococcus phage BC611,87
Enterococcus phage ECP3,220
Enterococcus phage EF24C,221
Enterococcus phage EF62phi,48
Enterococcus phage EFAP-1,24
Enterococcus phage EFC-1,59
Enterococcus phage EFDG1,192
Enterococcus phage EFLK1,198
Enterococcus phage EFP01,193
Enterococcus phage EFRM31,23
Enterococcus phage Ec-ZZ2,59
Enterococcus phage EfV12-phi1,191
Enterococcus phage EfaCPT1,69
Enterococcus phage IME-EF4,60
Enterococcus phage IME-EFm1,70
Enterococcus phage IME-EFm5,70
Enterococcus phage IMEEF1,98
Enterococcus phage IME_EF3,69
Enterococcus phage Idefix,25
Enterococcus phage LY0322,64
Enterococcus phage PMBT2,67
Enterococcus phage SANTOR1,60
Enterococcus phage SAP6,44
Enterococcus phage VD13,176
Enterococcus phage nattely,131
Enterococcus phage phiEF24C-P2,212
Enterococcus phage phiEf11,65
Enterococcus phage phiFL1A,61
Enterococcus phage phiFL2A,63
Enterococcus phage phiFL3A,64
Enterococcus phage phiFL4A,55
Enterococcus phage phiSHEF2,68
Enterococcus phage phiSHEF4,63
Enterococcus phage phiSHEF5,69
Enterococcus phage vB_EfaP_Ef6.2,26
Enterococcus phage vB_EfaP_Ef6.3,26
Enterococcus phage vB_EfaP_Ef7.2,30
Enterococcus phage vB_EfaP_Ef7.3,27
Enterococcus phage vB_EfaP_Ef7.4,25
Enterococcus phage vB_EfaP_Efmus1,25
Enterococcus phage vB_EfaP_Efmus3,28
Enterococcus phage vB_EfaP_Efmus4,24
Enterococcus phage vB_EfaP_IME195,27
Enterococcus phage vB_EfaP_IME199,22
Enterococcus phage vB_EfaP_Zip,22
Enterococcus phage vB_EfaS_AL2,62
Enterococcus phage vB_EfaS_AL3,61
Enterococcus phage vB_EfaS_IME196,57
Enterococcus phage vB_EfaS_IME197,67
Enterococcus phage vB_EfaS_IME198,95
